"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_even[7-False]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_calculator","","","","test_divide_by_zero",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","1","tests","test_utils","","","","test_is_odd[7-True]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_odd[2-False]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_calculator","","","","test_multiply",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_odd[3-True]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_even_with_fixture",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_calculator","","","","test_divide",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_calculator","","","","test_subtract",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_even[10-True]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_even[2-True]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_calculator","","","","test_add",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_odd[10-False]",""
"passed","Fri Nov 29 09:48:18 GMT 2024","Fri Nov 29 09:48:18 GMT 2024","0","tests","test_utils","","","","test_is_even[3-False]",""
