"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_is_even[2-True]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_is_odd[10-False]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_is_even_with_fixture","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","1","test_multiply","tests","Tue Dec 03 17:05:41 UTC 2024","passed","Tue Dec 03 17:05:41 UTC 2024","","test_calculator","",""
"","0","test_divide","tests","Tue Dec 03 17:05:41 UTC 2024","passed","Tue Dec 03 17:05:41 UTC 2024","","test_calculator","",""
"","0","test_divide_by_zero","tests","Tue Dec 03 17:05:41 UTC 2024","passed","Tue Dec 03 17:05:41 UTC 2024","","test_calculator","",""
"","0","test_is_even[7-False]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_is_even[10-True]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_is_odd[3-True]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_subtract","tests","Tue Dec 03 17:05:41 UTC 2024","passed","Tue Dec 03 17:05:41 UTC 2024","","test_calculator","",""
"","0","test_is_odd[7-True]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_is_even[3-False]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
"","0","test_add","tests","Tue Dec 03 17:05:41 UTC 2024","passed","Tue Dec 03 17:05:41 UTC 2024","","test_calculator","",""
"","0","test_is_odd[2-False]","tests","Tue Dec 03 17:05:59 UTC 2024","passed","Tue Dec 03 17:05:59 UTC 2024","","test_utils","",""
