"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_subtract","tests","Sat Mar 15 06:31:02 UTC 2025","passed","Sat Mar 15 06:31:02 UTC 2025","","test_calculator","",""
"","","test_add","tests","","unknown","","","test_calculator","",""
"","0","test_is_odd[2-False]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_is_even[3-False]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_is_even[2-True]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_is_odd[3-True]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_is_even[7-False]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_is_odd[7-True]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_multiply","tests","Sat Mar 15 06:31:02 UTC 2025","passed","Sat Mar 15 06:31:02 UTC 2025","","test_calculator","",""
"","0","test_is_even_with_fixture","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","1","test_is_even[10-True]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
"","0","test_divide","tests","Sat Mar 15 06:31:02 UTC 2025","passed","Sat Mar 15 06:31:02 UTC 2025","","test_calculator","",""
"","0","test_divide_by_zero","tests","Sat Mar 15 06:31:02 UTC 2025","passed","Sat Mar 15 06:31:02 UTC 2025","","test_calculator","",""
"","0","test_is_odd[10-False]","tests","Sat Mar 15 06:31:40 UTC 2025","passed","Sat Mar 15 06:31:40 UTC 2025","","test_utils","",""
