"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_calculator","","","","test_add",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_even[3-False]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","1","tests","test_calculator","","","","test_subtract",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_even_with_fixture",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","1","tests","test_utils","","","","test_is_odd[2-False]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_even[2-True]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_odd[3-True]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_calculator","","","","test_multiply",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","1","tests","test_utils","","","","test_is_odd[7-True]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_even[7-False]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_calculator","","","","test_divide",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_odd[10-False]",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_calculator","","","","test_divide_by_zero",""
"passed","Tue Dec 03 04:57:00 GMT 2024","Tue Dec 03 04:57:00 GMT 2024","0","tests","test_utils","","","","test_is_even[10-True]",""
