"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_is_even[10-True]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_multiply","tests","Fri Dec 06 05:30:39 UTC 2024","passed","Fri Dec 06 05:30:39 UTC 2024","","test_calculator","",""
"","","test_add","tests","","unknown","","","test_calculator","",""
"","0","test_is_odd[2-False]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","1","test_subtract","tests","Fri Dec 06 05:30:39 UTC 2024","passed","Fri Dec 06 05:30:39 UTC 2024","","test_calculator","",""
"","0","test_is_odd[3-True]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_is_even[7-False]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","1","test_is_even[2-True]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_is_even[3-False]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","1","test_is_odd[10-False]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_is_odd[7-True]","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_divide","tests","Fri Dec 06 05:30:39 UTC 2024","passed","Fri Dec 06 05:30:39 UTC 2024","","test_calculator","",""
"","0","test_is_even_with_fixture","tests","Fri Dec 06 05:31:02 UTC 2024","passed","Fri Dec 06 05:31:02 UTC 2024","","test_utils","",""
"","0","test_divide_by_zero","tests","Fri Dec 06 05:30:39 UTC 2024","passed","Fri Dec 06 05:30:39 UTC 2024","","test_calculator","",""
