"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_multiply","tests","Wed Mar 12 18:33:19 UTC 2025","passed","Wed Mar 12 18:33:19 UTC 2025","","test_calculator","",""
"","0","test_subtract","tests","Wed Mar 12 18:33:19 UTC 2025","passed","Wed Mar 12 18:33:19 UTC 2025","","test_calculator","",""
"","1","test_is_even[10-True]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_is_even[7-False]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_is_odd[3-True]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_is_even_with_fixture","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_is_odd[7-True]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","1","test_is_odd[2-False]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_is_even[2-True]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_divide_by_zero","tests","Wed Mar 12 18:33:19 UTC 2025","passed","Wed Mar 12 18:33:19 UTC 2025","","test_calculator","",""
"","0","test_is_even[3-False]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","1","test_is_odd[10-False]","tests","Wed Mar 12 18:33:49 UTC 2025","passed","Wed Mar 12 18:33:49 UTC 2025","","test_utils","",""
"","0","test_divide","tests","Wed Mar 12 18:33:19 UTC 2025","passed","Wed Mar 12 18:33:19 UTC 2025","","test_calculator","",""
"","","test_add","tests","","unknown","","","test_calculator","",""
